Word  actual_tag  prediction
Roman  B-PER  B-PER
town  O  O
,  O  O
expanding  O  O
to  O  O
the  O  O
east  O  O
from  O  O
the  O  O
river  O  O
,  O  O
with  O  O
the  O  O
presence  O  O
of  O  O
wall  B-ART  B-CON
plaster  I-ART  I-CON
and  O  O
opus  B-ART  B-ART
signinum  I-ART  I-ART
suggesting  O  O
the  O  O
gradual  O  O
adoption  O  O
of  O  O
Roman  B-PER  B-PER
tastes  O  O
.  O  O

Ditches  B-CON  B-CON
from  O  O
the  O  O
Little  B-LOC  B-LOC
Lane  I-LOC  I-LOC
excavation  O  O
(  O  O
Lucas  O  O
and  O  O
Buckley  O  O
forthcoming  O  O
)  O  O
perhaps  O  O
point  O  O
to  O  O
field  O  O
systems  O  O
beyond  O  O
the  O  O
settled  O  O
area  O  O
.  O  O

In  O  O
the  O  O
early  B-PER  B-PER
second  I-PER  I-PER
century  I-PER  I-PER
,  O  O
the  O  O
street  O  O
grid  O  O
appears  O  O
to  O  O
have  O  O
been  O  O
formalised  O  O
,  O  O
if  O  O
not  O  O
entirely  O  O
laid  O  O
out  O  O
,  O  O
and  O  O
at  O  O
the  O  O
same  O  O
time  O  O
,  O  O
Ratae  B-LOC  O
was  O  O
probably  O  O
established  O  O
as  O  O
a  O  O
civitas  O  O
capital  O  O
.  O  O

Timber  B-MAT  O
buildings  O  O
of  O  O
this  O  O
period  O  O
are  O  O
aligned  O  O
on  O  O
the  O  O
street  O  O
grid  O  O
,  O  O
and  O  O
have  O  O
been  O  O
found  O  O
beneath  O  O
the  O  O
northern  O  O
and  O  O
eastern  O  O
defences  O  O
,  O  O
pointing  O  O
to  O  O
the  O  O
rapid  O  O
expansion  O  O
of  O  O
settlement  O  O
(  O  O
Buckley  O  O
and  O  O
Lucas  O  O
1987  B-PER  B-PER
)  O  O
.  O  O

In  O  O
the  O  O
middle  O  O
and  O  O
later  O  O
years  O  O
of  O  O
the  O  O
second  B-PER  B-PER
century  I-PER  I-PER
,  O  O
a  O  O
major  O  O
programme  O  O
of  O  O
public  O  O
and  O  O
private  O  O
building  O  O
was  O  O
undertaken  O  O
.  O  O

This  O  O
included  O  O
the  O  O
construction  O  O
of  O  O
the  O  O
forum  O  O
and  O  O
basilica  O  O
complex  O  O
,  O  O
the  O  O
Jewry  B-LOC  O
Wall  I-LOC  O
public  O  O
baths  O  O
,  O  O
at  O  O
least  O  O
one  O  O
temple  O  O
and  O  O
a  O  O
variety  O  O
of  O  O
domestic  O  O
,  O  O
commercial  O  O
and  O  O
industrial  O  O
premises  O  O
(  O  O
Clay  O  O
and  O  O
Mellor  O  O
1985  B-PER  B-PER
;  O  O
Clay  O  O
and  O  O
Pollard  O  O
1994  B-PER  B-PER
)  O  O
.  O  O

On  O  O
most  O  O
Roman  B-PER  B-PER
sites  O  O
in  O  O
the  O  O
town  O  O
,  O  O
masonry  O  O
buildings  O  O
begin  O  O
to  O  O
appear  O  O
in  O  O
this  O  O
period  O  O
,  O  O
some  O  O
perhaps  O  O
commercial  O  O
and  O  O
domestic  O  O
properties  O  O
whilst  O  O
others  O  O
might  O  O
be  O  O
described  O  O
as  O  O
palatial  O  O
town  O  O
houses  O  O
.  O  O

The  O  O
Forum  O  O
(  O  O
LC  O  O
45  O  O
)  O  O
was  O  O
essentially  O  O
a  O  O
large  O  O
open  O  O
square  O  O
enclosed  O  O
on  O  O
three  O  O
sides  O  O
by  O  O
colonnades  O  O
containing  O  O
shops  O  O
and  O  O
on  O  O
the  O  O
fourth  O  O
,  O  O
northern  O  O
side  O  O
,  O  O
by  O  O
the  O  O
Basilica  O  O
,  O  O
a  O  O
large  O  O
aisled  O  O
building  O  O
.  O  O

The  O  O
east  O  O
and  O  O
west  O  O
colonnades  O  O
contained  O  O
a  O  O
single  O  O
row  O  O
of  O  O
shops  O  O
,  O  O
with  O  O
two  O  O
present  O  O
in  O  O
the  O  O
southern  O  O
colonnade  O  O
.  O  O

Although  O  O
its  O  O
prime  O  O
function  O  O
was  O  O
as  O  O
a  O  O
market  O  O
place  O  O
,  O  O
the  O  O
Forum  O  O
would  O  O
have  O  O
also  O  O
been  O  O
used  O  O
as  O  O
a  O  O
central  O  O
place  O  O
for  O  O
public  O  O
assembly  O  O
.  O  O

(  O  O
c  O  O
)  O  O
ULAS  O  O
Report  O  O
No  O  O
.  O  O

As  O  O
finally  O  O
constructed  O  O
,  O  O
the  O  O
Forum  O  O
measured  O  O
some  O  O
131.98m  O  O
x  O  O
90.83m  O  O
.  O  O

The  O  O
large  O  O
columns  O  O
used  O  O
in  O  O
the  O  O
structure  O  O
were  O  O
made  O  O
of  O  O
millstone  B-MAT  O
grit  I-MAT  O
,  O  O
spaced  O  O
c.  O  O
3  O  O
.3m  O  O
apart  O  O
and  O  O
resting  O  O
on  O  O
large  O  O
stylobate  O  O
blocks  O  O
(  O  O
Buckley  O  O
2000  B-PER  B-PER
)  O  O
.  O  O

The  O  O
northern  O  O
part  O  O
of  O  O
the  O  O
Forum  O  O
and  O  O
part  O  O
of  O  O
the  O  O
Basilica  O  O
lie  O  O
to  O  O
the  O  O
south  O  O
of  O  O
the  O  O
development  O  O
area  O  O
.  O  O

This  O  O
part  O  O
of  O  O
the  O  O
Basilica  O  O
would  O  O
represent  O  O
the  O  O
northern  O  O
face  O  O
of  O  O
the  O  O
building  O  O
,  O  O
and  O  O
is  O  O
likely  O  O
to  O  O
have  O  O
comprised  O  O
a  O  O
colonnaded  O  O
portico  O  O
.  O  O

Nothing  O  O
is  O  O
known  O  O
of  O  O
the  O  O
internal  O  O
arrangement  O  O
.  O  O

Many  O  O
millstone  B-MAT  O
grit  I-MAT  O
columns  O  O
have  O  O
been  O  O
found  O  O
in  O  O
the  O  O
vicinity  O  O
,  O  O
which  O  O
may  O  O
have  O  O
originated  O  O
from  O  O
the  O  O
Forum  O  O
and  O  O
Basilica  O  O
.  O  O

In  O  O
the  O  O
late  B-PER  B-PER
second  I-PER  I-PER
or  I-PER  I-PER
early  I-PER  I-PER
third  I-PER  I-PER
century  I-PER  I-PER
,  O  O
the  O  O
town  O  O
was  O  O
defended  O  O
with  O  O
a  O  O
rampart  O  O
and  O  O
ditch  O  B-CON
,  O  O
a  O  O
wall  O  B-CON
perhaps  O  O
being  O  O
added  O  O
later  O  B-PER
in  O  I-PER
the  O  I-PER
third  B-PER  I-PER
century  I-PER  I-PER
(  O  O
Buckley  O  O
and  O  O
Lucas  O  O
1987  B-PER  B-PER
)  O  O
.  O  O

There  O  O
is  O  O
some  O  O
evidence  O  O
for  O  O
suburban  O  O
occupation  O  O
outside  O  O
the  O  O
walls  O  B-CON
,  O  O
to  O  O
the  O  O
north  O  O
(  O  O
Northgates  B-LOC  O
:  O  O
Buckley  O  O
1987  B-PER  B-PER
;  O  O
Sanvey  B-LOC  O
Gate  I-LOC  O
:  O  O
Finn  O  O
1993  B-PER  B-PER
)  O  O
and  O  O
south  O  O
(  O  O
Bonners  B-LOC  B-LOC
Lane  I-LOC  I-LOC
:  O  O
Finn  O  O
1994  B-PER  B-PER
)  O  O
,  O  O
comprising  O  O
both  O  O
timber  B-MAT  B-MAT
and  O  O
substantial  O  O
masonry  B-MAT  O
buildings  O  O
.  O  O

To  O  O
the  O  O
west  O  O
,  O  O
across  O  O
the  O  O
river  O  O
,  O  O
excavations  O  O
at  O  O
Great  B-LOC  B-LOC
Holme  I-LOC  I-LOC
Street  I-LOC  I-LOC
have  O  O
suggested  O  O
the  O  O
existence  O  O
of  O  O
an  O  O
industrial  O  O
suburb  O  O
,  O  O
with  O  O
evidence  O  O
of  O  O
pottery  O  B-ART
kilns  O  O
and  O  O
an  O  O
abattoir  O  O
(  O  O
Lucas  O  O
forthcoming  O  O
)  O  O
.  O  O

Cemeteries  O  B-CON
surrounded  O  O
the  O  O
town  O  O
,  O  O
as  O  O
indicated  O  O
by  O  O
fieldwork  O  O
carried  O  O
out  O  O
at  O  O
Newarke  B-LOC  B-LOC
Street  I-LOC  I-LOC
(  O  O
Cooper  O  O
1996  B-PER  B-PER
and  O  O
Derrick  O  O
2003  B-PER  B-PER
)  O  O
and  O  O
Clarence  B-LOC  B-LOC
Street  I-LOC  I-LOC
(  O  O
Crank  O  O
2002  B-PER  O
)  O  O
.  O  O

The  O  O
Roman  B-PER  B-PER
Town  O  O
House  O  O
A  O  O
Roman  B-PER  B-PER
town  O  O
house  O  O
with  O  O
two  O  O
mosaic  O  O
floors  O  O
and  O  O
very  O  O
ornate  O  O
painted  O  B-MAT
plaster  O  I-MAT
walls  O  B-ART
was  O  O
excavated  O  O
in  O  O
Leicester  B-LOC  B-LOC
in  O  O
1958  B-PER  B-PER
(  O  O
TLAHS  O  O
1959  O  O
)  O  O
.  O  O

It  O  O
was  O  O
located  O  O
to  O  O
the  O  O
west  O  O
of  O  O
the  O  O
development  O  O
area  O  O
and  O  O
may  O  O
encroach  O  O
upon  O  O
the  O  O
present  O  O
development  O  O
area  O  O
.  O  O

Antiquarian  O  O
records  O  O
,  O  O
from  O  O
as  O  O
early  O  O
as  O  O
c  O  O
.  O  O
1675  B-PER  O
,  O  O
note  O  O
the  O  O
presence  O  O
of  O  O
the  O  O
Roman  B-PER  B-PER
mosaic  O  O
known  O  O
as  O  O
the  O  O
Cyparrisus  O  O
Pavement  O  O
`  O  O
against  O  O
the  O  O
elm  B-SPE  O
trees  O  O
near  O  O
All  B-LOC  O
Saints  I-LOC  O
Church  I-LOC  O
'  O  O
at  O  O
a  O  O
depth  O  O
of  O  O
c.  O  O
1  O  O
.4m  O  O
below  O  O
the  O  O
then  O  O
ground  O  O
surface  O  O
.  O  O

This  O  O
may  O  O
originally  O  O
have  O  O
lain  O  O
within  O  O
the  O  O
site  O  O
boundary  O  O
.  O  O

This  O  O
mosaic  O  O
,  O  O
(  O  O
SMR  O  O
ref  O  O
.  O  O

LC1047  O  O
)  O  O
is  O  O
of  O  O
particular  O  O
importance  O  O
as  O  O
it  O  O
is  O  O
only  O  O
the  O  O
second  O  O
example  O  O
of  O  O
a  O  O
true  O  O
figured  O  O
mosaic  O  O
from  O  O
the  B-LOC  O
midlands  I-LOC  O
.  O  O

The  O  O
date  O  O
of  O  O
the  O  O
mosaic  O  O
is  O  O
unclear  O  O
,  O  O
although  O  O
it  O  O
may  O  O
be  O  O
of  O  O
fourth  B-PER  B-PER
century  I-PER  I-PER
date  O  O
(  O  O
Johnson  O  O
1980  B-PER  B-PER
)  O  O
.  O  O

Archaeological  O  O
evidence  O  O
suggests  O  O
that  O  O
at  O  O
least  O  O
one  O  O
other  O  O
Roman  B-PER  B-PER
town  O  O
house  O  O
existed  O  O
within  O  O
the  O  O
site  O  O
boundary  O  O
.  O  O

Mosaics  O  B-ART
,  O  O
tessellated  O  O
pavements  O  O
and  O  O
the  O  O
remains  O  O
of  O  O
walls  O  B-CON
have  O  O
been  O  O
previously  O  O
found  O  O
in  O  O
cellared  O  O
areas  O  O
of  O  O
the  O  O
site  O  O
,  O  O
as  O  O
well  O  O
as  O  O
in  O  O
the  O  O
area  O  O
directly  O  O
to  O  O
the  O  O
north  O  O
,  O  O
belonging  O  O
to  O  O
part  O  O
of  O  O
the  O  O
same  O  O
insula  O  O
.  O  O

By  O  O
the  O  O
end  O  O
of  O  O
the  O  O
second  O  B-PER
century  O  I-PER
the  O  O
Blue  B-LOC  B-LOC
Boar  I-LOC  I-LOC
Lane  I-LOC  I-LOC
townhouse  O  O
had  O  O
fallen  O  O
into  O  O
disrepair  O  O
.  O  O

Soon  O  O
after  O  O
this  O  O
the  O  O
house  O  O
was  O  O
levelled  O  O
to  O  O
make  O  O
way  O  O
for  O  O
a  O  O
much  O  O
larger  O  O
structure  O  O
,  O  O
with  O  O
a  O  O
number  O  O
of  O  O
massive  O  O
walls  O  B-CON
(  O  O
TLAHS  O  O
1959  O  O
)  O  O
.  O  O

The  O  O
partial  O  O
excavation  O  O
of  O  O
this  O  O
structure  O  O
led  O  O
to  O  O
its  O  O
interpretation  O  O
by  O  O
the  O  O
excavator  O  O
John  O  O
Wacher  O  O
,  O  O
as  O  O
a  O  O
Macellum  O  O
(  O  O
market  O  O
place  O  O
)  O  O
and  O  O
appears  O  O
to  O  O
indicate  O  O
the  O  O
growing  O  O
prosperity  O  O
of  O  O
the  O  O
Roman  B-PER  B-PER
town  O  O
and  O  O
the  O  O
need  O  O
for  O  O
two  O  O
markets  O  B-ART
.  O  O

Lengths  O  O
of  O  O
substantial  O  O
walling  O  O
previously  O  O
found  O  O
directly  O  O
to  O  O
the  O  O
south  O  O
of  O  O
the  O  O
Stibbe  O  O
site  O  O
(  O  O
Meek  O  O
2001  B-PER  O
)  O  O
have  O  O
been  O  O
interpreted  O  O
as  O  O
belonging  O  O
to  O  O
the  O  O
Macellum  O  O
,  O  O
due  O  O
to  O  O
their  O  O
size  O  O
and  O  O
their  O  O
location  O  O
within  O  O
the  O  O
same  O  O
insula  O  O
.  O  O

(  O  O
c  O  O
)  O  O
ULAS  O  O
Report  O  O
No  O  O
.  O  O

A  O  O
possible  O  O
decline  O  O
in  O  O
urban  O  O
occupation  O  O
and  O  O
public  O  O
order  O  O
has  O  O
been  O  O
indicated  O  O
,  O  O
with  O  O
street  O  O
metalling  O  O
having  O  O
been  O  O
dug  O  O
into  O  O
(  O  O
Redcross  B-LOC  B-LOC
Street  I-LOC  I-LOC
:  O  O
Clay  O  O
and  O  O
Pollard  O  O
1994  B-PER  B-PER
,  O  O
48  O  O
)  O  O
,  O  O
as  O  O
well  O  O
as  O  O
evidence  O  O
for  O  O
the  O  O
illegal  O  O
extraction  O  O
of  O  O
silver  O  B-MAT
from  O  O
coinage  O  O
within  O  O
the  O  O
ruins  O  O
of  O  O
the  O  O
Macellum  O  O
(  O  O
Wacher  O  O
1974  B-PER  B-PER
,  O  O
353  O  O
)  O  O
.  O  O

Saxon  B-PER  B-PER
and  O  O
Medieval  B-PER  B-PER
Leicester  B-LOC  B-LOC
(  O  O
figure  O  O
4  O  O
)  O  O
The  O  O
scale  O  O
of  O  O
occupation  O  O
of  O  O
Leicester  B-LOC  B-LOC
during  O  O
the  O  O
Anglo-Saxon  B-PER  B-PER
period  O  I-PER
is  O  O
unclear  O  O
.  O  O

The  O  O
town  O  O
was  O  O
certainly  O  O
abandoned  O  O
to  O  O
some  O  O
extent  O  O
,  O  O
as  O  O
the  O  O
accumulation  O  O
of  O  O
`  O  O
dark  O  O
earth  O  O
'  O  O
deposits  O  O
demonstrates  O  O
.  O  O

Excavations  O  O
,  O  O
some  O  O
250m  O  O
to  O  O
the  O  O
south  O  O
of  O  O
the  O  O
town  O  O
,  O  O
adjacent  O  O
to  O  O
the  O  O
Roman  B-PER  B-PER
road  O  O
to  O  O
Tripontium  B-LOC  O
(  O  O
Caves  B-LOC  O
Inn  I-LOC  O
)  O  O
have  O  O
revealed  O  O
the  O  O
truncated  O  O
remains  O  O
of  O  O
two  O  O
sunken  O  O
featured  O  O
buildings  O  O
,  O  O
associated  O  O
with  O  O
finds  O  O
of  O  O
the  O  O
5th-6th  B-PER  O
centuries  I-PER  O
(  O  O
Finn  O  O
1994  B-PER  B-PER
,  O  O
167  O  O
;  O  O
Gossip  O  O
1998  B-PER  B-PER
,  O  O
159-60  O  O
)  O  O
.  O  O

These  O  O
represent  O  O
the  O  O
first  O  O
Anglo-Saxon  B-PER  B-PER
structures  O  O
to  O  O
be  O  O
located  O  O
in  O  O
or  O  O
near  O  O
