uri,scheme,concept1,concept2,concept3,concept4,concept5,concept6,concept7,altLabel1,altLabel2,altLabel3,altLabel4,hiddenLabel@nl,type,scopeNote@nl,https://data.cultureelerfgoed.nl/vocab/id/rce#hasCode,https://data.cultureelerfgoed.nl/vocab/id/rce#hasReference,https://data.cultureelerfgoed.nl/vocab/id/rce#hasSourceId,https://data.cultureelerfgoed.nl/vocab/id/rce#hasSpecification,https://data.cultureelerfgoed.nl/vocab/id/rn#hasCorrelate,https://data.cultureelerfgoed.nl/vocab/id/rn#hasSpecificAbrCode
https://data.cultureelerfgoed.nl/term/id/rn/28469954-91fc-4f98-a269-7f94e1c8a944,,,blaasinstrument,,,,,,,,,,MUZIEK.BLAASINS,,Muziekinstrument waarop de tonen worden voortgebracht door erin te blazen.,MUZIEK.BLAASINS,Van Dale,abr.artefact.1455,,,BLAASINS
https://data.cultureelerfgoed.nl/term/id/rn/164c6ec0-6f2f-4892-bbf4-23d817155b22,,,panfluit,,,,,,,,,,MUZIEK.PANFLUIT,,,MUZIEK.PANFLUIT,,8112,,,
https://data.cultureelerfgoed.nl/term/id/rn/07cdbf6f-fa42-4f35-b47d-8636020cf691,,,hoorn,,,,,,,,,,MUZIEK.HOORN,,"Een hoorn is een krommend of opgerold spiraalvormig , taps toelopend hol object met een mondstuk en vaak twee bevestiginsogen. Hoorns zijn meestal gemaakt van aardewerk (steengoed of witbakkende kleil al dan niet met glazuur),  metaal of hoorn. Aardewerk hoorns komen vooral voor in de Late Middeleeuwen en 16e eeuw en worden vaak geassocieerd met pelgrims (ook als pelgrimsteken) of de jacht.",MUZIEK.HOORN,,abr.artefact.1457,,,HOORN
https://data.cultureelerfgoed.nl/term/id/rn/54c825bd-6dfe-4648-b21d-0e0742c76f9d,,,fluit,,,,,,,,,,MUZIEK.FLUIT,,Blaasinstrument met gaten of kleppen die met de vingers worden gesloten of geopend.,MUZIEK.FLUIT,woorden.org,abr.artefact.1456,,,FLUIT
https://data.cultureelerfgoed.nl/term/id/rn/fdef7a76-b003-47ca-82a4-2b513e03790e,,,vogelfluit,,,,,,waterfluit,,,,MUZIEK.VOGELFLT,,"Type fluit van keramiek welke, in de vorm van een vogel, kan worden voorzien van water waarna een vogelgeluid geproduceerd kan worden.",MUZIEK.VOGELFLT,,abr.artefact.1459,,,VOGELFLT
https://data.cultureelerfgoed.nl/term/id/rn/7bcfc891-1148-49e9-b28c-c10c90b444f4,,vaatwerk,,,,,,,,,,,VAATWERK,,"Vaatwerk is een algemene benaming voor tafelgoed of servies met een containerfunctie voor kortere of langere tijd. Vaatwerk kan zijn gemaakt van aardewerk, metaal, hout of steen, en beslaat uiteenlopende vormen. Soms wordt vaatwerk voor specifieke doeleinden gebruikt, zoals lithurgisch vaatwerk. Vaatwerk komt voor vanaf het Vroeg Neolithicum.",VAATWERK,,abr.artefact.2459,,,VAATWERK
https://data.cultureelerfgoed.nl/term/id/rn/7122dd8f-c596-42e1-b208-a4b04e4c2ce6,,,amfoor,,,,,,,,,,AMFOOR.VERZ,,,AMFOOR.VERZ,,8533,,,
https://data.cultureelerfgoed.nl/term/id/rn/dda539d4-48a1-4568-a52f-d6440d1c3835,,,,dikwandige amfoor,,,,,,,,,AMFOOR,,"Amforen zijn grote containers (inhoud van ca. 25-60/80 l) die voor het transport van vloeistoffen (met name olie, wijn en vissaus) gebruikt zijn. De meeste typen, met uitzondering van Zuid-Franse of Gauloise amforen, worden gekenmerkt door een punt aan de onderzijde. In de vroege Middeleeuwen komen ook (reliëfband)amforen uit het Duitse Rijnland voor. Er is een grote variatie in baksels en vormen. De meeste hebben een smalle opening en twee oren. In veel gevallen is de bodem niet vlak, maar rond of aangepunt.",AMFOOR,"Hiddink 2010, 187",abr.artefact.0042,,,AMFOOR
https://data.cultureelerfgoed.nl/term/id/rn/2b22d245-05f0-4bbe-b0c4-153e5bb11797,,,,,Dressel 20,,,,Stuart 138,,,,AMFOOR.DRES20,,,AMFOOR.DRES20,,abr.artefact.0047,,,DRES20
https://data.cultureelerfgoed.nl/term/id/rn/8f564aeb-50c4-4a97-83da-07790728e840,,,,,Dressel 1,,,,,,,,AMFOOR.DRES1,,,AMFOOR.DRES1,,abr.artefact.0045,,,DRES1
https://data.cultureelerfgoed.nl/term/id/rn/47d21017-fd08-48a1-becf-c2f2c4d24182,,,,,Pelichet 46,,,,,,,,AMFOOR.PEL46,,,AMFOOR.PEL46,,abr.artefact.0056,,,PEL46
https://data.cultureelerfgoed.nl/term/id/rn/7ecaabb7-25b7-4258-983a-f684086054c6,,,,,Niederbieber 74,,,,,,,,AMFOOR.NB74,,,AMFOOR.NB74,,abr.artefact.0054,,,NB74
https://data.cultureelerfgoed.nl/term/id/rn/e45d1fab-e5d0-471e-aa91-c45dfce83afe,,,,,Dressel 7-11,,,,,,,,AMFOOR.DRES7/11,,,AMFOOR.DRES7/11,,abr.artefact.0048,,,DRES7/11
https://data.cultureelerfgoed.nl/term/id/rn/233bc038-c9b6-47c1-b0c7-4a428e8e9b23,,,,,Dressel 2-5,,,,,,,,AMFOOR.DRES2/5,,,AMFOOR.DRES2/5,,abr.artefact.0046,,,DRES2/5
https://data.cultureelerfgoed.nl/term/id/rn/55bdc96d-787a-45b2-b829-99a163e09331,,,,,Haltern 70,,,,,,,,AMFOOR.HAL70,,,AMFOOR.HAL70,,abr.artefact.0053,,,HAL70
https://data.cultureelerfgoed.nl/term/id/rn/eaed6c46-e9bf-4a69-88b9-c430b15c6615,,,,,Oberaden 83,,,,,,,,AMFOOR.OB83,,,AMFOOR.OB83,,abr.artefact.0055,,,OB83
https://data.cultureelerfgoed.nl/term/id/rn/2603b04f-744c-43ae-bca0-4e4df2587895,,,,,Wijster IIIC,,,,,,,,AMFOOR.WIJIIIC,,,AMFOOR.WIJIIIC,,abr.artefact.0059,,,WIJIIIC
https://data.cultureelerfgoed.nl/term/id/rn/3e3baeb1-1446-4d45-b4a0-336349f0b7fb,,,,,Camulodunum 184,,,,,,,,AMFOOR.CAM184,,,AMFOOR.CAM184,,abr.artefact.0044,,,CAM184
https://data.cultureelerfgoed.nl/term/id/rn/e611c1d3-1115-42e7-950c-80ba57080c0c,,,,standamfoor,,,,,,,,,AMFOOR.STAND,,,AMFOOR.STAND,,8534,,,
https://data.cultureelerfgoed.nl/term/id/rn/6090457e-7ec9-4ba8-95fe-58bb6b45850e,,,,,Stuart 132,,,,,,,,AMFOOR.ST132,,,AMFOOR.ST132,,abr.artefact.0058,,,ST132
https://data.cultureelerfgoed.nl/term/id/rn/165035d9-a337-4e27-bbbd-6ed42d9fec29,,,,,Gauloise 3,,,,,,,,AMFOOR.GAUL3,,,AMFOOR.GAUL3,,abr.artefact.0052,,,GAUL3
https://data.cultureelerfgoed.nl/term/id/rn/72761162-0b26-4847-8fb8-3f0c5791b835,,,,,Gauloise 2,,,,,,,,AMFOOR.GAUL2,,,AMFOOR.GAUL2,,abr.artefact.0051,,,GAUL2
https://data.cultureelerfgoed.nl/term/id/rn/bc7e6fbd-684b-41f0-9c17-64dda07cd02d,,,,,Brunsting 22,,,,,,,,AMFOOR.BR22,,,AMFOOR.BR22,,abr.artefact.0043,,,BR22
https://data.cultureelerfgoed.nl/term/id/rn/6bc46820-3810-4e18-9974-76bd11a4f6b9,,,,,Gauloise 1,,,,,,,,AMFOOR.GAUL1,,,AMFOOR.GAUL1,,abr.artefact.0050,,,GAUL1
https://data.cultureelerfgoed.nl/term/id/rn/a0c6ee8e-5c67-4adc-892d-f65cfdcb18b0,,,,,Gauloise standamfoor,,,,Gallische standamfoor,,,,AMFOOR.GAUL,,"Wijnamfoor uit Zuid-Frankrijk, die gekenmerkt wordt door een standring in plaats van een punt aan de onderzijde.",AMFOOR.GAUL,"Hiddink 2010, 187",abr.artefact.0049,,,GAUL
https://data.cultureelerfgoed.nl/term/id/rn/047a880b-2df4-4495-a29d-53287ae1e5bf,,,,,Pelichet 47,,,,,,,,AMFOOR.PEL47,,,AMFOOR.PEL47,,abr.artefact.0057,,,PEL47
https://data.cultureelerfgoed.nl/term/id/rn/c52310e1-7ee2-439b-85b9-56f97d901968,,,,Spaanse amfoor,,,,,,,,,MEDITAMF,,,MEDITAMF,,abr.artefact.1347,,,MEDITAMF
https://data.cultureelerfgoed.nl/term/id/rn/026acdb6-aedd-415a-9346-d3e91dc0d63a,,,,TRB-amfoor,,,,,,,,,TRBAMFR,,Bolvormig Trechterbeker-aardewerk met een rechte hals. Oortjes kunnen aanwezig zijn.,TRBAMFR,Bakker 1979.,abr.artefact.2296,,,TRBAMFR
https://data.cultureelerfgoed.nl/term/id/rn/2d65bf77-2593-4e56-a7e2-b9fb4faaabcb,,,,,Brindley type 1,,,,,,,,TRBAMFR.BRINDLT1,,"Type binnen de TRB-amfoor vorm, met een cilindrische hals en een gehoekte bolvormige buik.",TRBAMFR.BRINDLT1,"Brindley 1986b, 55.",abr.artefact.2297,,,BRINDLT1
https://data.cultureelerfgoed.nl/term/id/rn/21203158-f7f4-4ff6-a4b1-7fc9783b2c65,,,,,Brindley type 2,,,,,,,,TRBAMFR.BRINDLT2,,"Type binnen de TRB-amfoor vorm, met een cilindrische hals met een afgeronde buik.",TRBAMFR.BRINDLT2,"Brindley 1986b, 56.",abr.artefact.2298,,,BRINDLT2
https://data.cultureelerfgoed.nl/term/id/rn/1e4f06f4-fcde-43bb-b59f-65e31d2dca90,,,,"amfoor, ruwwandig en wijdmondig",,,,,,,,,AMFOORRW,,,AMFOORRW,,abr.artefact.0060,,,AMFOORRW
https://data.cultureelerfgoed.nl/term/id/rn/4211cbb2-0551-4346-85ed-afbc88cf4f8b,,,,,Trier D21,,,,,,,,AMFOORRW.TRID21,,,AMFOORRW.TRID21,,abr.artefact.0062,,,TRID21
https://data.cultureelerfgoed.nl/term/id/rn/e0fd0f84-ef75-4bda-8fdb-7d0e846d64dd,,,,,Gellep 167,,,,,,,,AMFOORRW.GEL167,,,AMFOORRW.GEL167,,abr.artefact.0061,,,GEL167
https://data.cultureelerfgoed.nl/term/id/rn/bf2ede3a-cef3-48c7-ae72-cf4116619ad0,,,,kruikamfoor,,,,,,,,,BRDKRUIK,,,BRDKRUIK,,abr.artefact.0335,,,BRDKRUIK
https://data.cultureelerfgoed.nl/term/id/rn/e7eb705b-5992-4fcb-9f1a-d68073f906ad,,,,,reliefbandamfoor,,,,Badorf aardewerk ,Dorestad WI A-C,,,BADORF.RELBAMF,,,BADORF.RELBAMF,,abr.artefact.0133,,,RELBAMF
https://data.cultureelerfgoed.nl/term/id/rn/0c8641ac-65dc-4059-be6e-394964ac6b30,,,,SVB-amfoor,,,,,,,,,SVBAMFR,,"Amfoor van Standvoetbeker-aardewerk, met standvoet, bolle buik en trechtervormige hals. Op de breedste buikomvang zijn oren of hengsels aangebracht.",SVBAMFR,"Drenth 2005; Van Der Waals 1964; Drenth 2005, afb 3.",abr.artefact.2198,,,SVBAMFR
https://data.cultureelerfgoed.nl/term/id/rn/4fcecbd4-218d-4874-b815-42bec17c0b52,,,,,Strichbuendelamfoor,,,,,,,,SVBAMFR.STRICHB,,"Type Standvoetbeker-amfoor waarbij een schouder-ornament aangebracht is, bestaande uit bundels of zones van verticale groeflijnen. Het aantal bundels bedraagt minimaal 3 en komt in veel gevallen overeen met het aantal hengsels op de breedste buikomvang van de amfoor.",SVBAMFR.STRICHB,Lanting 1971.,abr.artefact.2199,,,STRICHB
https://data.cultureelerfgoed.nl/term/id/rn/25eaddb3-a8ba-4b7a-8e68-5f331e25be45,,,ketel,,,,,,,,,,KETEL,,"Metalen, gewoonlijk min of meer halfbolvormig vaatwerk met hengsel en een met een deksel te sluiten opening van boven, met of zonder tuit, om vloeibare stoffen in te koken of te verwarmen.",KETEL,Van Dale,abr.artefact.1022,,,KETEL
https://data.cultureelerfgoed.nl/term/id/rn/0c3dec96-fff1-41b6-96b2-e15ab45d44f8,,,monstrans,,,,,,,,,,MONSTRNS,,"Gouden of zilveren, versierd vaatwerk met ronde opening, waarin de hostie zichtbaar ter verering en aanbidding wordt uitgestald.",MONSTRNS,Van Dale,abr.artefact.1396,,,MONSTRNS
https://data.cultureelerfgoed.nl/term/id/rn/460c7e76-363b-4450-9a44-5119e74ff7d3,,,,kruik,,,,,,,,,MKKRUIK,,"Vorm van Michelsberg-aardewerk, waarbij de bodem vlak is en de aanwezigheid van hengsels het meest karakteristiek is.",MKKRUIK,"Lüning 1967, Gattung 4.",abr.artefact.1389,,,MKKRUIK
https://data.cultureelerfgoed.nl/term/id/rn/2205f27a-7565-4bea-91df-40ab4d6b83d3,,,,,Majolica:kruik,,,,Majolica  ,,,,MAJKRK,,,MAJKRK,,abr.artefact.1329,,,MAJKRK
https://data.cultureelerfgoed.nl/term/id/rn/a68f9ac0-cc2a-4574-a116-c611f6f06b79,,,,,,Noordnederlandse Majolica kruik,,,,,,,MAJKRK.NOORDNED,,,MAJKRK.NOORDNED,,abr.artefact.1331,,,NOORDNED
https://data.cultureelerfgoed.nl/term/id/rn/9304db0a-73c1-43e1-af04-a95fc538fae4,,,,,,Zuidnederlandse Majolica kruik,,,,,,,MAJKRK.ZUIDNED,,,MAJKRK.ZUIDNED,,abr.artefact.1332,,,ZUIDNED
https://data.cultureelerfgoed.nl/term/id/rn/764d25fa-5287-421c-bdbf-7a5feb052d0a,,,,,,mediterrane Majolica kruik,,,,,,,MAJKRK.MEDITERR,,,MAJKRK.MEDITERR,,abr.artefact.1330,,,MEDITERR
https://data.cultureelerfgoed.nl/term/id/rn/2ef593dc-a3c8-4a13-a481-0f61f897fe10,,,,,Mediterraan roodbakkend,,,,,,,,MEDITKRK,,,MEDITKRK,,abr.artefact.1348,,,MEDITKRK
https://data.cultureelerfgoed.nl/term/id/rn/5d639d90-e1d8-491a-bb16-d196b45fc34c,,,,,witbakkend geglazuurd,,,,,,,,WITKRUIK,,,WITKRUIK,,abr.artefact.2595,,,WITKRUIK
https://data.cultureelerfgoed.nl/term/id/rn/584c39ac-11c6-44d4-bc5f-36c5abbeea99,,,,,,Weser,,,,,,,WITKRUIK.WESER,,,WITKRUIK.WESER,,abr.artefact.2597,,,WESER
https://data.cultureelerfgoed.nl/term/id/rn/84e72199-94fa-447f-b100-59d96a64744e,,,,,,Hafner,,,,,,,WITKRUIK.HAFNER,,,WITKRUIK.HAFNER,,abr.artefact.2596,,,HAFNER
https://data.cultureelerfgoed.nl/term/id/rn/8beb812f-3ec2-494f-9f5a-27f2cb7534d3,,,,,Loire,,,,,,,,LOIREKRK,,,LOIREKRK,,abr.artefact.1304,,,LOIREKRK
https://data.cultureelerfgoed.nl/term/id/rn/6f929fc9-87d0-4887-b854-aedcf305c42b,,,,,Brunssum-Schinveld geelwit,,,,,,,,BRUNKRK,,,BRUNKRK,,abr.artefact.0354,,,BRUNKRK
https://data.cultureelerfgoed.nl/term/id/rn/189151f2-5c1f-4cb6-a8f0-ca26aec496f5,,,,,roodbakkend geglazuurd,,,,,,,,ROODKRK,,,ROODKRK,,abr.artefact.1763,,,ROODKRK
https://data.cultureelerfgoed.nl/term/id/rn/f4d851ac-44f1-4a39-ab52-d0dcfb157c10,,,,,,slibversierde kruik,,,,,,,ROODKRK.SLIBVERS,,,ROODKRK.SLIBVERS,,abr.artefact.1764,,,SLIBVERS
https://data.cultureelerfgoed.nl/term/id/rn/963ec347-87db-4ca0-bbc0-7a3055615a96,,,,,Terra sigillata kruik,,,,,,,,TSKRUIK,,,TSKRUIK,,abr.artefact.2438,,,TSKRUIK
https://data.cultureelerfgoed.nl/term/id/rn/193b54a8-14c8-4ba6-9b24-e381d428ab80,,,,,,Chenet 348,,,Gellep 247,,,,TSKRUIK.CH348,,,TSKRUIK.CH348,,abr.artefact.2439,,,CH348
https://data.cultureelerfgoed.nl/term/id/rn/3a0dd1d8-cf8d-4380-8378-d7d41346bb4e,,,,,,Niederbieber 27,,,,,,,TSKRUIK.NB27,,,TSKRUIK.NB27,,abr.artefact.2440,,,NB27
https://data.cultureelerfgoed.nl/term/id/rn/8b63dd1c-e7c2-49e0-9863-b1b028197c7a,,,,,gladwandige kruik,,,,,,,,GLDKRUIK,,,GLDKRUIK,,abr.artefact.0685,,,GLDKRUIK
https://data.cultureelerfgoed.nl/term/id/rn/871bd446-6748-4b9b-9a07-6cb20f8f3ff0,,,,,,Oberaden 52,,,,,,,GLDKRUIK.OB52,,,GLDKRUIK.OB52,,abr.artefact.0690,,,OB52
https://data.cultureelerfgoed.nl/term/id/rn/535f5341-8818-477b-89b8-02d602e92ee3,,,,,,Brunsting 5c,,,,,,,GLDKRUIK.BR5C,,,GLDKRUIK.BR5C,,abr.artefact.0687,,,BR5C
https://data.cultureelerfgoed.nl/term/id/rn/ae0361ed-b49f-4a4c-9651-54c3b8586602,,,,,,Stuart 101,,,Haltern 47,,,,GLDKRUIK.ST101,,,GLDKRUIK.ST101,,abr.artefact.0691,,,ST101
https://data.cultureelerfgoed.nl/term/id/rn/8bfeb489-e29f-49ae-abc4-08cbb2ead07b,,,,,,Stuart 107,,,Hofheim 5,,,,GLDKRUIK.ST107,,,GLDKRUIK.ST107,,abr.artefact.0695,,,ST107
https://data.cultureelerfgoed.nl/term/id/rn/c78fe157-c59e-4014-9830-ad5467edabdf,,,,,,Stuart 110A,,,Brunsting 5a,,,,GLDKRUIK.ST110A,,,GLDKRUIK.ST110A,,abr.artefact.0698,,,ST110A
https://data.cultureelerfgoed.nl/term/id/rn/becf2e7e-9d58-4d9e-80b2-d79d64e2567c,,,,,,Stuart 110B,,,Brunsting 5b,,,,GLDKRUIK.ST110B,,,GLDKRUIK.ST110B,,abr.artefact.0699,,,ST110B
https://data.cultureelerfgoed.nl/term/id/rn/586824d0-304d-4ecc-a3e4-b1edf8a50f87,,,,,,Hofheim 50,,,Hofheim 51,,,,GLDKRUIK.HOF5051,,,GLDKRUIK.HOF5051,,abr.artefact.0689,,,HOF5051
https://data.cultureelerfgoed.nl/term/id/rn/8812c6ba-821d-4577-be71-627cae6cbece,,,,,,Stuart 131,,,Brunsting 23,,,,GLDKRUIK.ST131,,,GLDKRUIK.ST131,,abr.artefact.0707,,,ST131
https://data.cultureelerfgoed.nl/term/id/rn/6e7b24bc-3411-4405-aa29-1f4bd177b303,,,,,,Stuart 130,,,Brunsting 21,Brunsting 24,,,GLDKRUIK.ST130,,,GLDKRUIK.ST130,,abr.artefact.0706,,,ST130
https://data.cultureelerfgoed.nl/term/id/rn/9706e914-3235-4eb0-b605-ea709ebf90de,,,,,,Stuart 111,,,Brunsting 6,Niederbieber 62,,,GLDKRUIK.ST111,,,GLDKRUIK.ST111,,abr.artefact.0700,,,ST111
https://data.cultureelerfgoed.nl/term/id/rn/ca384f79-d8f1-4f65-8aa4-ee2c5199b0c5,,,,,,Stuart 109,,,,,,,GLDKRUIK.ST109,,,GLDKRUIK.ST109,,abr.artefact.0696,,,ST109
https://data.cultureelerfgoed.nl/term/id/rn/237fa951-715a-4730-8066-30c2394f3f77,,,,,,Stuart 102,,,Haltern 48,,,,GLDKRUIK.ST102,,,GLDKRUIK.ST102,,abr.artefact.0692,,,ST102
https://data.cultureelerfgoed.nl/term/id/rn/e0f1c79b-f086-44ce-b040-80bd1656decb,,,,,,Stuart 115,,,Niederbieber 64,Brunsting 19,,,GLDKRUIK.ST115,,,GLDKRUIK.ST115,,abr.artefact.0704,,,ST115
https://data.cultureelerfgoed.nl/term/id/rn/8ef0efa0-4c72-4749-9b6d-a4d44a9791b5,,,,,,Stuart 103,,,Haltern 45,Oberaden 43,Stuart 104,,GLDKRUIK.ST103104,,,GLDKRUIK.ST103104,,abr.artefact.0693,,,ST103104
https://data.cultureelerfgoed.nl/term/id/rn/c773ae11-4e9c-4a69-8b3c-482d468e0f42,,,,,,Brunsting 20,,,,,,,GLDKRUIK.BR20,,,GLDKRUIK.BR20,,abr.artefact.0686,,,BR20
https://data.cultureelerfgoed.nl/term/id/rn/9ccf1c10-f21c-4b01-9b19-3cda8e1a9c05,,,,,,Stuart 112A,,,Brunsting 7,,,,GLDKRUIK.ST112A,,,GLDKRUIK.ST112A,,abr.artefact.0701,,,ST112A
https://data.cultureelerfgoed.nl/term/id/rn/c2874fb4-1093-4c1a-a0e4-679184d1c39e,,,,,,Stuart 110,,,Brunsting 5a,Brunsting 5b,,,GLDKRUIK.ST110,,,GLDKRUIK.ST110,,abr.artefact.0697,,,ST110
https://data.cultureelerfgoed.nl/term/id/rn/d4b601a2-d086-45af-b946-7fb7749b2a90,,,,,,Stuart 112B,,,,,,,GLDKRUIK.ST112B,,,GLDKRUIK.ST112B,,abr.artefact.0702,,,ST112B
https://data.cultureelerfgoed.nl/term/id/rn/895c6797-d2de-40ad-a5f0-0b6643814041,,,,,,Stuart 113,,,Brunsting 9,,,,GLDKRUIK.ST113,,,GLDKRUIK.ST113,,abr.artefact.0703,,,ST113
https://data.cultureelerfgoed.nl/term/id/rn/7fce693e-ff3d-4fa6-be2d-c5682d104875,,,,,,Stuart 106,,,Stuart 108,,,,GLDKRUIK.ST106108,,,GLDKRUIK.ST106108,,abr.artefact.0694,,,ST106108
https://data.cultureelerfgoed.nl/term/id/rn/9757c5d8-0c61-4257-bc33-c348f6948354,,,,,,Haltern 53,,,Hofheim 58,,,,GLDKRUIK.HAL53,,,GLDKRUIK.HAL53,,abr.artefact.0688,,,HAL53
https://data.cultureelerfgoed.nl/term/id/rn/dc6a8794-74f5-45c5-805e-0a721e37f9b1,,,,,,Stuart 129,,,,,,,GLDKRUIK.ST129,,,GLDKRUIK.ST129,,abr.artefact.0705,,,ST129
https://data.cultureelerfgoed.nl/term/id/rn/7dfae5a6-2dda-4fa1-91a7-fa14fd2af918,,,,,,, Stuart 129a,,,,,,GLDKRUIK.ST129A,,,GLDKRUIK.ST129A,,9004,,,
https://data.cultureelerfgoed.nl/term/id/rn/cf939888-9a04-4dba-b3bc-74e518625712,,,,,,,Stuart 129b,,,,,,GLDKRUIK.ST129B,,,GLDKRUIK.ST129B,,9005,,,
https://data.cultureelerfgoed.nl/term/id/rn/fb2aab90-9e1f-4c8f-9568-97ec74d817ef,,,,,Steengoed kruik,,,,,,,,STGKRUIK,,,STGKRUIK,,abr.artefact.2152,,,STGKRUIK
https://data.cultureelerfgoed.nl/term/id/rn/bfd19821-058f-42b9-915e-5087528ad613,,,,,,Westerwalds kruik,,,,,,,STGKRUIK.WESTERW,,,STGKRUIK.WESTERW,,9002,,,
https://data.cultureelerfgoed.nl/term/id/rn/35cfd9e1-b3a4-484c-b54b-2e8fd4bca476,,,,,,Brunssum-Schinvelds,,,,,,,STGKRUIK.BRUNSSUM,,,STGKRUIK.BRUNSSUM,,abr.artefact.2153,,,BRUNSSUM
https://data.cultureelerfgoed.nl/term/id/rn/9e0fafa2-be8e-4f32-b7ad-fa48b4eac25b,,,,,,steengoed geglazuurde kruik,,,,,,,STGLKRK,,,STGLKRK,,abr.artefact.2172,,,STGLKRK
https://data.cultureelerfgoed.nl/term/id/rn/f6115f61-a3b9-4964-847f-6712b8b96c3c,,,,,,,Westerwalds,,,,,,STGLKRK.WESTERW,,,STGLKRK.WESTERW,,abr.artefact.2177,,,WESTERW
https://data.cultureelerfgoed.nl/term/id/rn/585b3359-ddf2-44e7-9568-6aa232b29834,,,,,,,Frechen,,,,,,STGLKRK.FRECHEN,,,STGLKRK.FRECHEN,,abr.artefact.2173,,,FRECHEN
https://data.cultureelerfgoed.nl/term/id/rn/99c19a14-47a8-4143-9581-d5a4344c2b02,,,,,,,Keuls,,,,,,STGLKRK.KEULS,,,STGLKRK.KEULS,,abr.artefact.2174,,,KEULS
https://data.cultureelerfgoed.nl/term/id/rn/3efaf1ae-dcb7-443c-bcd7-14283bdf74b5,,,,,,,Raerens,,,,,,STGLKRK.RAEREN,,,STGLKRK.RAEREN,,abr.artefact.2175,,,RAEREN
